id,arxiv_id,title,authors,date,year,venue,topics,uav_relevance,abs_url,pdf_url,code_url,project_url,query_source
949be8997fb7,2605.27582v1,Uni-LaViRA: Language-Vision-Robot Actions Translation for Unified Embodied Navigation,Hongyu Ding; Sizhuo Zhang; Ziming Xu; Jinwen Guo; Hongxiu Liu; Xingzhi Cheng; Zixuan Chen; Haifei Qi; Duo Wang; Hao Xu; Jieqi Shi; Yifan Zhang; Jing Huo; Jian Cheng; Yang Gao; Jiebo Luo,2026-05-26,2026,arXiv,UAV VLA,High,https://arxiv.org/abs/2605.27582v1,https://arxiv.org/pdf/2605.27582v1,,,"""UAV"" AND ""navigation"" AND ""planning"""
94768544f97c,2605.25010v1,Performance Comparison of Classical and Neural Sampling Algorithms for Robotic Navigation,Hichem Cheriet; Badra Khellat Kihel; Samira Chouraqui,2026-05-24,2026,arXiv,Traditional UAV VLN,High,https://arxiv.org/abs/2605.25010v1,https://arxiv.org/pdf/2605.25010v1,,,"""UAV"" AND ""navigation"" AND ""evaluation"""
2e82c17076c2,2605.23386v1,Droneulator: A Portable UAV Simulator for Agricultural Workflows with RotorPy and Godot 4,Jacob Swindell; Michael Lowen; Marija Popovic; Riccardo Polvara,2026-05-22,2026,arXiv,Datasets & Simulators,High,https://arxiv.org/abs/2605.23386v1,https://arxiv.org/pdf/2605.23386v1,,,"""UAV"" AND ""navigation"" AND ""simulation"""
f4ec0b12f77f,2605.19703v1,KIO-planner: Attention-Guided Single-Stage Motion Planning with Dual Mapping for UAV Navigation,Dexing Yao; Haochen Li; Junhao Wei; Yifu Zhao; Yanxiao Li; Jiahui Xu; Jinxuan Hu; Lele Tian; Baili Lu; Zikun Li; Xu Yang; Sio-Kei Im; Dingcheng Yang; Yapeng Wang,2026-05-19,2026,arXiv,Traditional UAV VLN,High,https://arxiv.org/abs/2605.19703v1,https://arxiv.org/pdf/2605.19703v1,,,"""UAV"" AND ""navigation"" AND ""simulation"""
294798b8e023,2605.19600v1,FlyMirage: A Fully Automated Generation Pipeline for Diverse and Scalable UAV Flight Data via Generative World Model,Jinhan Li; Xijie Huang; Zhaoqi Wang; Yijin Wang; Weiqi Ge; Qiyi He; Mo Zhu; Fei Gao; Yuze Wu; Xin Zhou,2026-05-19,2026,arXiv,UAV WAM; Datasets & Simulators,High,https://arxiv.org/abs/2605.19600v1,https://arxiv.org/pdf/2605.19600v1,,,"""UAV"" AND ""navigation"" AND ""simulation"""
997748b757be,2605.19120v1,"CosFly: Plan in the Matrix, Fly in the World",Hanxuan Chen; Xiangyue Wang; Songsheng Cheng; Ruilong Ren; Jie Zheng; Shuai Yuan; Tianle Zeng; Hanzhong Guo; Binbo Li; Kangli Wang; Ji Pei,2026-05-18,2026,arXiv,Datasets & Simulators,High,https://arxiv.org/abs/2605.19120v1,https://arxiv.org/pdf/2605.19120v1,,,"""UAV"" AND ""navigation"" AND ""simulation"""
4fa1600866a8,2605.17776v2,CosFly-Track: A Large-Scale Multi-Modal Dataset for UAV Visual Tracking via Multi-Constraint Trajectory Optimization,Xiangyue Wang; Hanxuan Chen; Songsheng Cheng; Ruilong Ren; Jie Zheng; Shuai Yuan; Tianle Zeng; Hanzhong Guo; Kangli Wang; Ji Pei,2026-05-18,2026,arXiv,Datasets & Simulators; Evaluation,High,https://arxiv.org/abs/2605.17776v2,https://arxiv.org/pdf/2605.17776v2,,,"""UAV"" AND ""navigation"" AND ""metrics"""
a02c08c0cbe1,2605.16547v1,World Model-Enabled Causal Digital Twins for Semantic Communications in Physical AI Systems,Lingyi Wang; Tingyu Shui; Walid Saad; Pascal Adjakple,2026-05-15,2026,arXiv,Evaluation; UAV WAM; Datasets & Simulators,High,https://arxiv.org/abs/2605.16547v1,https://arxiv.org/pdf/2605.16547v1,,,"""unmanned aerial vehicle"" AND ""evaluation"" AND ""navigation"""
c511aeac74f0,2605.14920v1,FU-MPC: Frontier- and Uncertainty-Aware Model Predictive Control for Efficient and Accurate UAV Exploration with Motorized LiDAR,Jianping Li; Pengfei Wan; Zhongyuan Liu; Yi Wang; Yiheng Chen; Xinhang Xu; Rui Jin; Boyu Zhou; Lihua Xie,2026-05-14,2026,arXiv,Evaluation,High,https://arxiv.org/abs/2605.14920v1,https://arxiv.org/pdf/2605.14920v1,,,"""UAV"" AND ""navigation"" AND ""evaluation"""
60412f154c08,2605.14810v1,CaMeRL: Collision-Aware and Memory-Enhanced Reinforcement Learning for UAV Navigation in Multi-Scale Obstacle Environments,Hong Hong; Feiyu Liao; Yongheng Liang; Boning Zhang; Haitao Wang; Hejun Wu,2026-05-14,2026,arXiv,Evaluation,High,https://arxiv.org/abs/2605.14810v1,https://arxiv.org/pdf/2605.14810v1,,,"""unmanned aerial vehicle"" AND ""evaluation"" AND ""navigation"""
a6fc09e5ba26,2605.10880v1,Safe Aerial 3D Path Planning for Autonomous UAVs using Magnetic Potential Fields,Haechan Mark Bong; Giovanni Beltrame,2026-05-11,2026,arXiv,Traditional UAV VLN; Evaluation,High,https://arxiv.org/abs/2605.10880v1,https://arxiv.org/pdf/2605.10880v1,,,"""UAV"" AND ""navigation"" AND ""success rate"""
8c188cf61e50,2605.07099v4,InfoGeo: Information-Theoretic Object-Centric Learning for Cross-View Generalizable UAV Geo-Localization,Hongyang Zhang; Maonnan Wang; Ziyao Wang; Hongrui Yin; Man On Pun,2026-05-08,2026,arXiv,Datasets & Simulators,High,https://arxiv.org/abs/2605.07099v4,https://arxiv.org/pdf/2605.07099v4,,,"""UAV"" AND ""navigation"" AND ""evaluation"""
